Trial_ID,Scenario,Lane_Type,Peak_Speed_Variance,Amplification_Factor,Settling_Time_sec
1,4,Human,11.1557,5.4907,60.0167
1,4,LAR_1,10.9192,2.7453,26.3000
1,4,LAR_2,8.8294,2.7453,23.1667
1,4,LAR_3,7.7974,2.7453,21.5667
1,4,LAR_4,7.4049,2.7453,20.8167
1,4,LAR_5,7.3010,2.7453,20.5000
2,4,Human,13.2457,5.1379,60.0167
2,4,LAR_1,10.6408,2.5689,25.6333
2,4,LAR_2,8.8439,2.5689,22.5000
2,4,LAR_3,7.8393,2.5689,20.9167
2,4,LAR_4,7.4492,2.5689,20.1833
2,4,LAR_5,7.3448,2.5689,19.8500
3,4,Human,12.5629,1.0808,60.0167
3,4,LAR_1,11.1037,2.3907,26.8500
3,4,LAR_2,9.3067,2.3907,23.6000
3,4,LAR_3,8.3289,2.3907,21.9333
3,4,LAR_4,7.9247,2.3907,21.1500
3,4,LAR_5,7.8139,2.3907,20.8000
4,4,Human,13.3616,1.0000,60.0167
4,4,LAR_1,10.4678,2.0977,25.5000
4,4,LAR_2,8.6794,2.0977,22.4500
4,4,LAR_3,7.6862,2.0977,20.8833
4,4,LAR_4,7.3048,2.0977,20.1667
4,4,LAR_5,7.2025,2.0977,19.8333
5,4,Human,16.2266,1.0000,60.0167
5,4,LAR_1,11.5855,2.2094,28.1167
5,4,LAR_2,9.6926,2.2094,24.6500
5,4,LAR_3,8.8044,2.2094,22.8833
5,4,LAR_4,8.4734,2.2094,22.0500
5,4,LAR_5,8.3836,2.2094,21.6667
6,4,Human,13.9409,1.0000,60.0167
6,4,LAR_1,11.7746,2.4298,28.4667
6,4,LAR_2,9.8060,2.4298,25.0000
6,4,LAR_3,8.6925,2.4298,23.2667
6,4,LAR_4,8.2570,2.4298,22.4333
6,4,LAR_5,8.1412,2.4298,22.0667
7,4,Human,13.2043,4.6399,60.0167
7,4,LAR_1,10.9556,2.3199,26.5333
7,4,LAR_2,9.0816,2.3199,23.3167
7,4,LAR_3,8.0386,2.3199,21.7000
7,4,LAR_4,7.6367,2.3199,20.9333
7,4,LAR_5,7.5295,2.3199,20.5833
8,4,Human,14.4523,1.1748,60.0167
8,4,LAR_1,11.8313,2.7229,28.4667
